Customer ID,Gender,Age,Location,EstimatedIncome,Purchased
CID00211,Male,19,Rural,22000,0
CID00212,Male,35,Semi Arban,20000,0
CID00213,Female,26,Arban,36000,0
CID00214,Female,27,Rural,57000,0
CID00215,Male,19,Rural,76000,0
CID00216,Male,27,Rural,60000,1
CID00217,Female,27,Rural,84000,0
CID00218,Female,32,Arban,150000,1
CID00219,Male,25,Rural,33000,1
CID00220,Female,35,Rural,65000,1
CID00221,Female,26,Rural,80000,0
CID00222,Female,26,Rural,52000,0
CID00223,Male,,Rural,86000,1
CID00224,Male,32,Semi Arban,19000,1
CID00225,Male,18,Semi Arban,82000,1
CID00226,Male,29,Semi Arban,80000,1
CID00227,Male,47,Arban,,1
CID00227,Male,47,Arban,25000,1
CID00228,Male,45,Arban,26000,1
CID00228,Male,45,Arban,26000,1
CID00229,Male,46,Arban,28000,1
CID00229,Male,46,Arban,28000,1
CID00230,Female,48,Arban,29000,0
CID00231,Male,45,Semi Arban,22000,1
CID00232,Female,47,Semi Arban,49000,0
CID00233,Male,,Semi Arban,41000,0
CID00234,Female,45,Semi Arban,22000,0
CID00235,Male,46,Arban,23000,1
CID00236,Male,47,Arban,20000,1
CID00237,Male,49,Semi Arban,28000,1
CID00238,Female,47,Rural,30000,1
CID00239,Male,29,Rural,43000,1
CID00240,Male,31,Rural,18000,0
CID00241,Male,31,Rural,74000,1
CID00242,Female,27,Rural,137000,1
CID00243,Female,21,Rural,16000,0
CID00244,Female,28,Rural,44000,0
CID00245,Male,27,Rural,90000,1
CID00246,Male,35,Rural,27000,0
CID00247,Female,33,Rural,28000,0
CID00248,Male,,Rural,49000,0
CID00249,Female,26,Rural,72000,0
CID00250,Female,27,Rural,31000,0
CID00251,Female,27,Rural,17000,0
CID00252,Female,33,Rural,51000,0
CID00253,Male,35,Rural,108000,1
CID00254,Male,30,Semi Arban,15000,0
CID00255,Female,28,Semi Arban,84000,0
CID00256,Male,23,Semi Arban,20000,0
CID00257,Male,25,Arban,79000,1
CID00258,Female,27,Arban,54000,0
CID00259,Male,30,Arban,135000,1
CID00260,Female,31,Arban,89000,1
CID00261,Female,24,Arban,32000,1
CID00262,Female,18,Arban,44000,1
CID00263,Female,,Arban,83000,0
CID00264,Female,35,Arban,23000,1
CID00265,Female,27,Arban,58000,1
CID00266,Female,24,Arban,55000,1
CID00267,Female,23,Arban,48000,1
CID00268,Male,28,Rural,79000,1
CID00269,Male,22,Rural,18000,0
CID00270,Female,32,Rural,117000,1
CID00271,Male,27,Rural,20000,0
CID00272,Male,25,Rural,87000,1
CID00273,Female,23,Rural,66000,0
CID00274,Male,32,Semi Arban,120000,1
CID00275,Female,,Rural,83000,0
CID00276,Male,24,Rural,58000,1
CID00277,Male,24,Rural,19000,0
CID00278,Female,23,Rural,82000,1
CID00279,Female,22,Rural,63000,1
CID00280,Female,31,Semi Arban,68000,0
CID00281,Male,25,Semi Arban,80000,0
CID00282,Female,24,Semi Arban,27000,0
CID00283,Female,20,Semi Arban,23000,0
CID00284,Female,33,Semi Arban,113000,1
CID00285,Male,32,Semi Arban,18000,0
CID00286,Male,34,Arban,112000,1
CID00287,Male,18,Arban,52000,0
CID00288,Female,22,Arban,27000,0
CID00289,Female,,Arban,87000,0
CID00290,Female,26,Arban,17000,0
CID00291,Male,30,Arban,80000,1
CID00292,Male,39,Arban,42000,1
CID00293,Male,20,Arban,49000,0
CID00294,Male,35,Arban,88000,1
CID00295,Female,30,Arban,62000,1
CID00296,Female,31,Arban,118000,1
CID00297,Male,24,Semi Arban,55000,1
CID00298,Female,28,Semi Arban,85000,1
CID00299,Male,26,Semi Arban,81000,1
CID00300,Male,35,Semi Arban,50000,1
CID00301,Male,22,Semi Arban,81000,1
CID00302,Female,,Rural,116000,0
CID00303,Male,26,Rural,15000,0
CID00304,Female,29,Rural,28000,0
CID00305,Female,29,Rural,83000,1
CID00306,Female,35,Rural,44000,0
CID00307,Female,35,Arban,25000,0
CID00308,Male,28,Arban,123000,1
CID00309,Male,35,Arban,73000,1
CID00310,Female,28,Arban,37000,0
